in:FloorCount,in:Area,in:Aspect_Ratio,in:Offset,in:Orientation,in:Height,in:Window_Wall_Ratio,in:Window_Height,in:Sill_Height,in:Infiltration,in:R_value_Wall,in:R_value_Roof,in:Glazing_Type,in:Shading_depth,in:Outside_Air_Core,in:Outside_Air_Perimeter,in:Internal_Load_Core,in:Internal_Load_Perimeter,in:Comfort_Range,in:HVAC_Systems,out:unmet_cooling_hours,out:eui,out:lighting_power_density,out:daylight_factor,out:heating,out:unmet_heating_hours,out:cooling
1,1250,1,4,0,4,50,2,0.7,0.0001,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,0.0,355.85,10.7639,0.25,133.53,179.5,66.97
1,1250,1,4,0,4,50,2,0.7,0.0001,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,167.83,631.01,10.7639,0.25,437.14,396.83,120.42
1,1250,1,4,0,4,50,2,0.7,0.0004,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,101.33,708.47,10.7639,0.25,502.4,267.83,143.79
1,1250,1,4,0,4,50,2,0.7,0.0004,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,0.0,341.37,10.7639,0.25,128.46,186.5,67.8
1,1250,1,4,0,4,50,2,0.7,0.0004,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,218.33,418.82,10.7639,0.25,185.53,371.5,121.57
1,1250,1,4,0,4,50,2,0.7,0.0004,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,101.5,790.69,10.7639,0.25,597.36,267.83,149.92
1,1250,1,4,0,4,50,2,0.7,0.0004,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,0.0,391.17,10.7639,0.25,170.53,186.0,69.76
1,1250,1,4,0,4,50,2,0.7,0.0004,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,151.17,651.06,10.7639,0.25,453.4,398.33,124.54
1,1250,1,4,0,4,50,2,0.7,0.0004,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,160.83,644.4,10.7639,0.25,436.07,429.83,137.02
1,1250,1,4,0,4,50,2,0.7,0.0004,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,0.0,307.28,10.7639,0.25,92.27,178.0,65.1
1,1250,1,4,0,4,50,2,0.7,0.0004,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,249.0,399.28,10.7639,0.25,168.6,358.83,118.75
1,1250,1,4,0,4,50,2,0.7,0.0004,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,160.83,732.53,10.7639,0.25,538.86,429.83,142.74
1,1250,1,4,0,4,50,2,0.7,0.0004,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,0.0,355.85,10.7639,0.25,133.53,179.5,66.97
1,1250,1,4,0,4,50,2,0.7,0.0004,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,167.83,631.01,10.7639,0.25,437.14,396.83,120.42
1,1250,1,4,0,4,50,2,0.7,0.0001,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,0.0,375.59,10.7639,0.25,137.03,181.0,82.62
1,1250,1,4,0,4,50,2,0.7,0.0001,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,150.0,861.87,10.7639,0.25,640.49,260.67,174.81
1,1250,1,4,0,4,50,2,0.7,0.0001,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,203.17,742.66,10.7639,0.25,512.98,412.17,161.41
1,1250,1,4,0,4,50,2,0.7,0.0001,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,203.17,806.76,10.7639,0.25,584.29,412.17,168.44
1,1250,1,4,0,4,50,2,0.7,0.0004,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,150.0,801.51,10.7639,0.25,574.52,260.67,167.21
1,1250,1,4,0,4,50,2,0.7,0.0004,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,0.0,375.59,10.7639,0.25,137.03,181.0,82.62
1,1250,1,4,0,4,50,2,0.7,0.0004,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,150.0,861.87,10.7639,0.25,640.5,260.67,174.81
1,1250,1,4,0,4,50,2,0.7,0.0004,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,203.17,742.66,10.7639,0.25,512.98,412.17,161.41
1,1250,1,4,0,4,50,2,0.7,0.0004,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,203.17,806.76,10.7639,0.25,584.3,412.17,168.44
1,1250,1,4,0,4,30,2,0.7,0.0001,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,0.0,632.97,10.7639,0.25,446.56,265.67,123.79
1,1250,1,4,0,4,30,2,0.7,0.0001,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,0.0,313.5,10.7639,0.25,123.22,195.17,54.4
1,1250,1,4,0,4,30,2,0.7,0.0001,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,156.67,388.27,10.7639,0.25,182.88,219.83,98.18
1,1250,1,4,0,4,30,2,0.7,0.0001,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,0.0,739.78,10.7639,0.25,573.0,265.67,129.2
1,1250,1,4,0,4,30,2,0.7,0.0001,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,0.0,364.96,10.7639,0.25,166.34,193.83,57.13
1,1250,1,4,0,4,30,2,0.7,0.0001,2.6,3.5,0,0,0.06,0.06,1,1,0.06,0,146.33,620.82,10.7639,0.25,451.24,246.0,101.05
1,1250,1,4,0,4,30,2,0.7,0.0001,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,0.0,565.85,10.7639,0.25,377.3,447.0,116.45
1,1250,1,4,0,4,30,2,0.7,0.0001,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,0.0,276.31,10.7639,0.25,84.26,180.83,50.95
1,1250,1,4,0,4,30,2,0.7,0.0001,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,95.33,366.62,10.7639,0.25,164.67,174.83,94.17
1,1250,1,4,0,4,30,2,0.7,0.0001,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,0.0,679.54,10.7639,0.25,512.43,447.33,121.78
1,1250,1,4,0,4,30,2,0.7,0.0001,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,0.0,326.97,10.7639,0.25,126.94,189.5,53.74
1,1250,1,4,0,4,30,2,0.7,0.0001,7.0,7.0,1,1,0.06,0.06,1,1,0.06,0,80.83,598.42,10.7639,0.25,433.82,215.5,95.32
